Zone Identifier;Source Identifier;Company Code;Posting Date;Financial Period;GCOA Account;Local Account;Cost Center;Cognos Account;Cognos Dimension;Measure Code;Currency;Amount
"MEX";"Budget";"3022";"";"2016M04";"6100501";"60003114";"210CL20050";"405102";"SM00";"BUDGET";"MXN";92000.00000
"MEX";"Budget";"3024";"";"2016M06";"6302006";"60000034";"210CN70070";"403001";"SM00";"BUDGET";"MXN";728.24000
"MEX";"Budget";"3027";"";"2016M04";"6104553";"60003038";"210CQA0080";"404000";"SM00";"BUDGET";"MXN";96127.23000
"MEX";"Budget";"3029";"";"2016M09";"6025017";"60000225";"210CS20050";"405102";"SM00";"BUDGET";"MXN";99190.97000
"MEX";"Budget";"5001";"";"2016M03";"6104050";"60004519";"660K4101C0";"405301";"ZM01";"BUDGET";"MXN";160.00000
"MEX";"Budget";"6501";"";"2016M04";"6103006";"60001006";"580M1YB5C0";"405301";"ZM03";"BUDGET";"MXN";508.08000
"MEX";"Budget";"6501";"";"2016M11";"6101007";"60000215";"5705MZJ4C0";"405301";"ZM02";"BUDGET";"MXN";445696.03000
"MEX";"Budget";"6504";"";"2016M11";"6103015";"60001013";"570IM982C0";"405301";"ZM02";"BUDGET";"MXN";249.84000
"MEX";"LE BBP 2016-01";"1001";"";"2016M05";;"";"";;"";"LE";"MXN";862075.14110
"MEX";"SAP";"2001";"";"2016M02";"6300005";"60000007";"190N1D06A0";"405000";"ZM04";"ACTUAL";"MXN";80562.26000
"MEX";"SAP";"3001";"";"2016M02";"6300005";"60000010";"210C120350";"405102";"SM00";"ACTUAL";"MXN";2005.92000
"MEX";"SAP";"3006";"";"2016M02";"6104553";"60003116";"210C680080";"404000";"SM00";"ACTUAL";"MXN";44291.21000
"MEX";"SAP";"3011";"";"2016M02";"6300000";"60000001";"210CAA2490";"404001";"SM00";"ACTUAL";"MXN";45019.50000
"MEX";"SAP";"3018";"";"2016M02";"5370104";"60001044";"210CHA1090";"404001";"SM00";"ACTUAL";"MXN";541.76000
"MEX";"SAP";"3023";"";"2016M02";"6200562";"60001400";"210CM20650";"405102";"SM00";"ACTUAL";"MXN";1843.21000
"MEX";"SAP";"3029";"";"2016M02";"6103006";"60001006";"210CS300C0";"405301";"SM00";"ACTUAL";"MXN";5294.68000
"MEX";"SAP";"6501";"";"2016M02";"6300005";"60000009";"570X1254C0";"405301";"ZM02";"ACTUAL";"MXN";8589.52000
"MEX";"Budget";"1003";"";"2016M09";"6103533";"60005111";"R11303A016";"403000";"SM00";"BUDGET";"MXN";38613350.46000
"MEX";"Budget";"1513";"";"2016M10";"6103015";"60001012";"750T3600C0";"405301";"ZM00";"BUDGET";"MXN";200.00000
"MEX";"Budget";"2001";"";"2016M01";"6025013";"60000220";"190N1D24A0";"405000";"ZM04";"BUDGET";"MXN";8720.98000
"MEX";"Budget";"2003";"";"2016M02";"6025000";"60000217";"190N3I50A0";"405000";"ZM04";"BUDGET";"MXN";546.83000
