Zone Identifier;GL Account Code;Cost Center Code;GCOA Account Code;Sub Package Code
"MEX";"60004519";"210C1100C0";"6104050";"116"
"MEX";"60000021";"210CAA2090";"6300000";"261"
"MEX";"60001011";"210C5J0890";"6103003";"349"
"MEX";"60004404";"210C5305C0";"6103015";"352"
"MEX";"60000013";"210CN20250";"6302000";"269"
"MEX";"60000001";"210CG20850";"6300000";"261"
"MEX";"60000049";"570IM986C0";"6300000";"261"
"MEX";"60001010";"570IM9J6C0";"6103005";"348"
"MEX";"60000214";"210CK20250";"6102561";"137"
"MEX";"60000020";"210CFA1090";"6300000";"261"
"MEX";"60001015";"190NB101C0";"6104036";"116"
"MEX";"60000033";"210C5J01C0";"6302006";"269"
"MEX";"60004301";"580C1AG3C0";"5370098";"106"
"MEX";"60000212";"210CS20230";;"435"
"MEX";"60000821";"570213A4C0";"6304504";"332"
"MEX";"60000001";"210C7304C0";"6300000";"261"
"MEX";"60000217";"210CH20750";"6025000";"144"
"MEX";"60000047";"190N1D1640";"6302006";"269"
"MEX";"60000007";"190N5D06A0";"6300005";"273"
"MEX";"60000021";"210CJ309C0";"6300000";"261"
"MEX";"60003013";"210CR20530";"6302001";"330"
"MEX";"60001004";"210C7310C0";"6103002";"447"
"MEX";"60000020";"210CK20250";"6300000";"261"
"MEX";"60000300";"210CQ20250";"6020000";"247"
"MEX";"60001010";"570R14A4C0";"6103005";"348"
"MEX";"60000040";"570X1320C0";"6300000";"261"
"MEX";"60000040";"210CEA0290";"6300000";"261"
"MEX";"60000013";"210CU20150";"6302000";"269"
"MEX";"60001007";"570I19W3C0";"6103006";"447"
"MEX";"60000702";"210CP20050";"6202000";"103"
"MEX";"60000011";"570X1930C0";"6300005";"273"
"MEX";"60000046";"5705M5H1F0";"6303505";"270"
"MEX";"60000049";"210C6A0790";"6300000";"261"
"MEX";"60000813";"210CA21150";"6200525";"478"
"MEX";"60000009";"A806JT03C0";"6300005";"273"
"MEX";"60000039";"210CJ20130";"6300000";"261"
"MEX";"60001018";"210C380090";"6104035";"116"
"MEX";"60003122";"190N9D1640";"6106005";"201"
"MEX";"60000300";"580R14H8C0";"6020000";"247"
"MEX";"60001600";"210CG20530";"6200559";"210"
"MEX";"60000308";"210CLA0490";"6201025";"457"
"MEX";"60004407";"210CH20350";"6305500";"279"
"MEX";"60000071";"750KFI00A0";"6300000";"261"
"MEX";"60001103";"690K2938C0";"6106501";"244"
"MEX";"60001033";"210C2A0090";"6308502";"452"
"MEX";"60000807";"210C6312C0";"6022000";"247"
"MEX";"60000308";"210C620950";"6201025";"124"
"MEX";"60000035";"210CI20130";"6300000";"262"
"MEX";"60004519";"190N7101C0";"6104050";"449"
"MEX";"60000213";"190N9101C0";"6201015";"457"
"MEX";"60001033";"190NED06A0";"6308502";"452"
"MEX";"60000308";"210CHA1290";"6201025";"124"
"MEX";"60000225";"210C1100C0";"6025017";"145"
"MEX";"60000043";"210CE20050";"6300000";"261"
"MEX";"60001011";"210C1400C0";"6103003";"349"
"MEX";"60000023";"210C720030";"6900118";"335"
"MEX";"60000034";"190NED31A0";"6302006";"269"
"MEX";"60000006";"580R1453C0";"6306500";"277"
"MEX";"60000020";"210CSA1190";"6300000";"261"
"MEX";"60003013";"210CI306C0";"6302001";"330"
"MEX";"60000300";"210CAA2780";"6020000";"247"
"MEX";"60000001";"210CN20030";"6300000";"261"
"MEX";"60000640";"210CK300C0";"6105519";"132"
"MEX";"60000001";"210CAA2190";"6300000";"261"
"MEX";"60000023";"210CB300C0";"6900118";"335"
"MEX";"60000035";"210CAA2090";"6300000";"262"
"MEX";"60000023";"750K9E00C0";"6900118";"335"
"MEX";"60000908";"210C2302C0";"6105019";"229"
"MEX";"60001017";"210C6A0890";"6104084";"116"
"MEX";"60000022";"210CAA2490";"6300500";"262"
"MEX";"60000042";"210CG20750";"6300500";"262"
"MEX";"60000813";"210CF20750";"6200525";"106"
"MEX";"60000051";"5705M498C0";"6309607";"335"
"MEX";"60000013";"210CI20130";"6302000";"269"
"MEX";"60000042";"210CS323C0";"6300500";"262"
"MEX";"60000301";"210CBA0580";"6102546";"238"
"MEX";"60001003";"690K1439C0";"6103002";"447"
"MEX";"60000033";"210CH307C0";"6302006";"269"
"MEX";"60001013";"190N3D11A0";"6103015";"352"
"MEX";"60000025";"210CJ20750";"6300000";"261"
"MEX";"60000046";"570X1AB0C0";"6303505";"270"
"MEX";"60001009";"210C980090";"6103005";"447"
"MEX";"60003156";"210CM20730";;"238"
"MEX";"60004301";"210C970070";"5370098";"474"
"MEX";"60000041";"210C6A0590";"6300500";"262"
"MEX";"60000033";"210CCA0590";"6302006";"269"
"MEX";"60001013";"580I19K2C0";"6103015";"352"
"MEX";"60001413";"210C620030";"6200563";"427"
